序号,单词,音标,词性及释义
1,ability,[ə'bɪləti],n. 能力；才能
2,able,['eɪbl],adj. 能够的；有能力的；能干的
3,above,[ə'bʌ v],prep.在...上面
4,abroad,[ə'brɔːd],adv. 到国外；广为流传; adj. 在国外；海外(一般作表语)
5,absent,['æ bsənt],adj.缺席的；不在的
6,accept,[ək'sept],v.接受
7,accident,['æksədənt],n.事故
8,achieve,[ə'tʃiv],v.实现；达到
9,achievement,[ə'tʃivmənt],n.成就
10,act,[ækt],v.行动; 扮演; 装作
11,active,['æktɪv],adj. 主动的；有效的；积极的；活跃的；现役的; n.主动语态；积极分子
12,actual,['æktʃuəl],adj. 真实的；实际的
13,actually,['æktʃuəli],adv.真实的；实际的
14,add,[æ d],v.增添；添加
15,addition,[ə'dɪʃn],n. 增加；加法；附加物
16,address,[ə'dres],n. 住址；v. 称呼；发表演说；提出；写地址；处理
17,admire,[əd'maɪə(r)],v.敬佩；欣赏
18,advantage,[əd'vɑ:ntidʒ],n.优点；好处
19,advice,[əd'vaɪs],n.忠告；劝告；建议
20,advise,[əd'vaiz],v. 建议; 劝告, 告知
21,affect,[ə'fekt],vt. 影响；感动；作用
22,afford,[ə'fɔ:rd],v.买得起
23,afraid,[ə'freɪd],adj.害怕的；担心的
24,against,[ə'genst],v.对抗
25,agree,[ə'gri:],v. 同意, 赞同; 与...一致
26,agreement,[ə'griːmənt],n. 同意；一致；协议
27,aim,[eɪm],n. 目标；对准；枪法; v. 瞄准；针对；瞄准；旨在；致力
28,allow,[ə'laʊ],v.允许
29,almost,['ɔ:lmoʊst],adv.几乎
30,alone,[ə'ləun],adj.单独的；孤独的
31,along,[ə'lɒ ŋ],adv.向前；一起；来到; prep.沿着；顺着
32,already,[ɔ:l'redi],adv. 已经
33,although,[ɔ:l'ðəu],conj.虽然；尽管
34,amazing,[ə'meɪzɪŋ],adj.令人惊奇的
35,among,[ə'mʌ ŋ],prep.在……中间；在(三个以上)之间
36,amount,[ə'maʊnt],n. 数量；总额; v. 总计；等于
37,answer,['ɑ:nsə(r)],v.回答 n.答案
38,anxiety,[æŋ'zaɪətɪ],n. 焦虑；渴望；挂念；令人焦虑的事
39,anything,['eniθɪŋ],pron. 任何事；任何东西；重要事物; adv. 在任何程度上
40,appear,[ə'pɪr],v.出现
41,appearance,[ə'pɪər(ə)ns],n. 外貌；外观；出现；露面
42,apply,[ə'plaɪ],v.供给
43,area,['eriə],n. 地区；面积
44,argue,['ɑ:rgju:],v.争吵
45,argument,['ɑ:rgjumənt],n.争吵
46,ashamed,[ə'ʃeɪmd],adj. 惭愧的；感到难为情的；耻于……的
47,attached,[ə'tætʃt],adj.附加的；依恋的
48,attend,[ə'tɛnd],v.参加；出席
49,attention,[ə'tɛnʃən],n.注意
50,attitude,['ætɪtu:d],n.态度
51,attract,[ə'træ kt],v.吸引
52,attraction,[ə'træ kʃn],n. 吸引；吸引力；有吸引力的人或事物
